figure,panel_metric,arm,run_index,step,value
fig_msp_learning_curves,eval_lpips,Gain return (Ablation),1,20,0.20362378408511478
fig_msp_learning_curves,eval_lpips,Gain return (Ablation),1,30,0.19967300336187083
fig_msp_learning_curves,eval_lpips,Gain return (Ablation),2,0,0.21570572862401605
fig_msp_learning_curves,eval_lpips,Gain return (Ablation),2,10,0.20787246727074188
fig_msp_learning_curves,eval_lpips,Gain return (Ablation),2,20,0.19997629011049867
fig_msp_learning_curves,eval_lpips,Gain return (Ablation),2,30,0.1965984469279647
fig_msp_learning_curves,eval_lpips,Gain return (Ablation),3,0,0.21570572862401605
fig_msp_learning_curves,eval_lpips,Gain return (Ablation),3,10,0.20685778014982742
fig_msp_learning_curves,eval_lpips,Gain return (Ablation),3,20,0.20229508463914198
fig_msp_learning_curves,eval_lpips,Gain return (Ablation),3,30,0.1957741342484951
fig_msp_learning_curves,eval_lpips,Gain return (Ablation),4,0,0.21570572862401605
fig_msp_learning_curves,eval_lpips,Gain return (Ablation),4,10,0.21461818770815927
fig_msp_learning_curves,eval_lpips,Gain return (Ablation),4,20,0.21273692324757576
fig_msp_learning_curves,eval_lpips,Gain return (Ablation),4,30,0.21042177686467767
fig_msp_learning_curves,eval_lpips_last,Seq raw,0,0,0.22598793730139732
fig_msp_learning_curves,eval_lpips_last,Seq raw,0,10,0.2203410416841507
fig_msp_learning_curves,eval_lpips_last,Seq raw,0,20,0.21274733170866966
fig_msp_learning_curves,eval_lpips_last,Seq raw,0,30,0.2523740269243717
fig_msp_learning_curves,eval_lpips_last,Seq raw,1,0,0.22598793730139732
fig_msp_learning_curves,eval_lpips_last,Seq raw,1,10,0.22811752930283546
fig_msp_learning_curves,eval_lpips_last,Seq raw,1,20,0.22260329127311707
fig_msp_learning_curves,eval_lpips_last,Seq raw,1,30,0.22658738121390343
fig_msp_learning_curves,eval_lpips_last,Seq raw,2,0,0.22598793730139732
fig_msp_learning_curves,eval_lpips_last,Seq raw,2,10,0.22004909440875053
