figure,metric,seed_index,rho,predicted_flip,observed_flip
fig_rank_flip,LPIPS,0,0.7896801907781412,0.18792388795336004,0.18750059049480278
fig_rank_flip,LPIPS,1,0.7886489389187932,0.18627100331981253,0.18427447454802665
fig_rank_flip,LPIPS,2,0.7967976698673915,0.18377324428378966,0.1840057389800954
fig_rank_flip,LPIPS,3,0.7959716827966186,0.18455059978975155,0.18332954588748954
fig_rank_flip,LPIPS,4,0.7835166166692977,0.18843940161723122,0.18534143131804162
fig_rank_flip,MSE,0,0.8038150093040312,0.18341176099592846,0.1780230989494828
fig_rank_flip,MSE,1,0.7998214301424879,0.18237300635989975,0.17997308672997864
fig_rank_flip,MSE,2,0.7981827315996712,0.18604879511725722,0.18687717521507566
fig_rank_flip,MSE,3,0.8021025302345425,0.18340704274278555,0.17900236490753033
fig_rank_flip,MSE,4,0.8016644608843717,0.18375455556974254,0.17553847968651495
fig_rank_flip,SSIM,0,0.7350239627608621,0.22030764673807784,0.215613901841858
fig_rank_flip,SSIM,1,0.7475542974286509,0.21610435226521507,0.21544234409387816
fig_rank_flip,SSIM,2,0.738148172685362,0.21956047753807517,0.21858995975828507
fig_rank_flip,SSIM,3,0.7252907872017225,0.223893039262751,0.22202720026228792
fig_rank_flip,SSIM,4,0.7407600462120442,0.21654569665037607,0.21765389117849016
